.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148402,1682211418,802088121,-0.640439795,5.808145918,0.198565127
148403,1682211418,812890318,-0.640447482,5.808153495,0.198568901
148404,1682211418,826438437,-0.640264296,5.808439808,0.199028059
148405,1682211418,832342958,-0.640200388,5.808372561,0.198493265
148406,1682211418,842702917,-0.640357544,5.808288213,0.198727188
148407,1682211418,852587761,-0.640223081,5.808316707,0.198997965
148408,1682211418,862111200,-0.640161541,5.80854125,0.199202703
148409,1682211418,872383639,-0.64013802,5.808600382,0.199336139
148410,1682211418,882203748,-0.640165797,5.808493996,0.19912997
148411,1682211418,893441620,-0.640059364,5.808629787,0.199328908
148412,1682211418,902809385,-0.640053907,5.808597052,0.199094598
148413,1682211418,911932556,-0.639926571,5.80865612,0.198904199
148414,1682211418,922469973,-0.640081516,5.808418603,0.198486408
148415,1682211418,933198285,-0.639934554,5.808574785,0.198658684
148416,1682211418,942217717,-0.639792555,5.808860617,0.198894947
148417,1682211418,952347352,-0.639822935,5.808877547,0.199136012
148418,1682211418,962248225,-0.639552725,5.80906086,0.198994633
148419,1682211418,972228123,-0.639348644,5.809268155,0.199142543
148420,1682211418,983232958,-0.639401166,5.809013179,0.198736371
148421,1682211418,992310688,-0.639369299,5.809059397,0.198733614
148422,1682211419,2292008,-0.639057831,5.80942641,0.199343467
148423,1682211419,12635484,-0.638934898,5.809592834,0.199566325
148424,1682211419,22578825,-0.638724769,5.809647291,0.199462698
148425,1682211419,33596740,-0.638635494,5.809827338,0.199625086
148426,1682211419,42399475,-0.638474895,5.810024423,0.199722521
148427,1682211419,52698197,-0.638289275,5.810129962,0.199877589
148428,1682211419,63971272,-0.638242336,5.810080765,0.199961437
148429,1682211419,72352680,-0.63820936,5.81022797,0.200429983
148430,1682211419,83459841,-0.63796758,5.810457338,0.200856153
148431,1682211419,94523965,-0.63779438,5.810499398,0.201235937
148432,1682211419,103864375,-0.637571088,5.810879959,0.201805158
148433,1682211419,113814590,-0.637465434,5.810992268,0.202290894
148434,1682211419,122649288,-0.637009512,5.811459401,0.203252867
148435,1682211419,132561427,-0.636869749,5.811724924,0.203652255
148436,1682211419,142614224,-0.636784823,5.811824559,0.204414637
148437,1682211419,152713750,-0.636772342,5.812105682,0.204996626
148438,1682211419,162479074,-0.636669437,5.812196718,0.205753624
148439,1682211419,172488693,-0.636491003,5.812639164,0.206820565
148440,1682211419,182972750,-0.636464465,5.812947842,0.207622857
148441,1682211419,192909872,-0.636362361,5.813637636,0.208664595
148442,1682211419,202625914,-0.636339464,5.81417963,0.209718345
148443,1682211419,212835606,-0.636209929,5.814299579,0.210612457
148444,1682211419,222536089,-0.636165815,5.814846118,0.211934318
148445,1682211419,232561685,-0.636205424,5.815231582,0.21326949
148446,1682211419,242953952,-0.636319882,5.815569863,0.214431531
148447,1682211419,252365879,-0.636351701,5.816378812,0.216151152
148448,1682211419,262913535,-0.63645866,5.816473337,0.217387509
148449,1682211419,273444130,-0.63655444,5.81708253,0.219220421
148450,1682211419,283437048,-0.636784643,5.817633331,0.220893949
148451,1682211419,292707812,-0.63686562,5.818158834,0.222465656
148452,1682211419,302800784,-0.637030234,5.818671664,0.224476802
148453,1682211419,312492115,-0.637509889,5.819243698,0.227118032
148454,1682211419,322932517,-0.637656145,5.820011816,0.229506919
148455,1682211419,332462631,-0.638221719,5.820262659,0.231500542
148456,1682211419,342470828,-0.63844331,5.821011073,0.233953413
148457,1682211419,354909244,-0.639025189,5.821609019,0.236461194
148458,1682211419,362583825,-0.63936903,5.822188343,0.238992159
148459,1682211419,372716048,-0.640006694,5.822644863,0.241225011
148460,1682211419,382305985,-0.640488919,5.823388975,0.243881404
148461,1682211419,392417026,-0.641113206,5.823972228,0.246283104
148462,1682211419,403322585,-0.641753762,5.824360332,0.248501331
148463,1682211419,412153130,-0.642198096,5.824953373,0.251495773
148464,1682211419,423346034,-0.642670697,5.825487908,0.254085655
148465,1682211419,432299220,-0.643365695,5.826011752,0.256548323
148466,1682211419,442160973,-0.644043597,5.826708382,0.259043996
148467,1682211419,452332572,-0.644731162,5.82739003,0.261733155
148468,1682211419,462357360,-0.645782403,5.828628658,0.264359522
148469,1682211419,472388568,-0.646578965,5.828884286,0.266852176
148470,1682211419,482660690,-0.647444381,5.829627203,0.269554338
148471,1682211419,493862944,-0.64832407,5.83027915,0.27217636
148472,1682211419,502339443,-0.649258986,5.831196789,0.274931096
148473,1682211419,512289733,-0.650242334,5.831790453,0.277479466
148474,1682211419,523072883,-0.651119848,5.832554837,0.280190512
148475,1682211419,532684783,-0.65209343,5.833055288,0.282449042
148476,1682211419,542484328,-0.653095441,5.833790448,0.285715076
148477,1682211419,552320608,-0.65417458,5.83438355,0.288318474
148478,1682211419,562816124,-0.655163257,5.835198175,0.291254784
148479,1682211419,572267997,-0.656465618,5.835328795,0.29355164
148480,1682211419,582629316,-0.657356951,5.836464728,0.296336856
148481,1682211419,592851331,-0.658397263,5.837240449,0.29957457
148482,1682211419,602286682,-0.6595063,5.837575402,0.302287992
148483,1682211419,612740433,-0.660761239,5.83842899,0.305064835
148484,1682211419,622481851,-0.661759032,5.83916778,0.308100548
148485,1682211419,632491310,-0.662793079,5.840062421,0.311240232
148486,1682211419,642440305,-0.663778645,5.840828685,0.314039275
148487,1682211419,652483927,-0.664782342,5.841712066,0.317262986
148488,1682211419,662763058,-0.666080713,5.841890228,0.319879108
148489,1682211419,672226313,-0.667347864,5.842874779,0.32300978
148490,1682211419,682637093,-0.668437458,5.843173641,0.325857923
148491,1682211419,692471344,-0.669608311,5.844450182,0.32912871
148492,1682211419,702492695,-0.67069001,5.845000433,0.331979101
148493,1682211419,712492838,-0.671817774,5.845457473,0.334958123
148494,1682211419,722415909,-0.672994227,5.846310086,0.33811357
148495,1682211419,733047592,-0.674242016,5.847223509,0.341414979
148496,1682211419,742419481,-0.675059236,5.848114001,0.344842527
148497,1682211419,753460798,-0.676266193,5.848732777,0.347709847
148498,1682211419,764247673,-0.67745187,5.849386079,0.35096422
148499,1682211419,783490106,-0.67959723,5.850307025,0.357153862
148500,1682211419,793700096,-0.680691169,5.851401605,0.360874023
148501,1682211419,803171288,-0.681805244,5.852084834,0.364184152
148502,1682211419,812889057,-0.68289683,5.852755235,0.367120616
148503,1682211419,842588169,-0.685915994,5.854558718,0.37742654
148504,1682211419,852392413,-0.686805735,5.855327475,0.380914118
148505,1682211419,861999522,-0.687769393,5.856042733,0.384625181
148506,1682211419,872140692,-0.688531845,5.85685026,0.388301016
148507,1682211419,886601566,-0.689623757,5.857149713,0.391643392
148508,1682211419,903498004,-0.691359409,5.85842194,0.398530645
148509,1682211419,911756192,-0.692359835,5.85882351,0.401933395
148510,1682211419,922936694,-0.692884116,5.859807429,0.40623898
148511,1682211419,951231909,-0.6952993,5.861364049,0.416950466
148512,1682211419,960854265,-0.696236318,5.861697889,0.420317455
