.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148344,1682211418,802088121,-0.831942701,7.166450052,0.265219175
148345,1682211418,812890318,-0.831918443,7.166403121,0.265318179
148346,1682211418,826438437,-0.832077624,7.16649203,0.265216638
148347,1682211418,832342958,-0.832069595,7.16650197,0.265191703
148348,1682211418,842702917,-0.831926918,7.166483398,0.265212425
148349,1682211418,852587761,-0.832162106,7.166551921,0.265056827
148350,1682211418,862111200,-0.832055679,7.166472673,0.265195404
148351,1682211418,872383639,-0.83203496,7.166418515,0.265231804
148352,1682211418,882203748,-0.832167929,7.166497537,0.265099105
148353,1682211418,893441620,-0.832033493,7.166476942,0.265177675
148354,1682211418,902809385,-0.832177812,7.166588346,0.265056879
148355,1682211418,911932556,-0.832068391,7.166499862,0.265176275
148356,1682211418,922469973,-0.832168347,7.166499216,0.265079558
148357,1682211418,933198285,-0.83193234,7.166384851,0.265308531
148358,1682211418,942217717,-0.832164468,7.166505917,0.265113238
148359,1682211418,952347352,-0.832049936,7.166474917,0.265216243
148360,1682211418,962248225,-0.832165168,7.166566825,0.265074173
148361,1682211418,972228123,-0.832028678,7.166531767,0.265145825
148362,1682211418,983232958,-0.83203069,7.166503171,0.26515647
148363,1682211418,992310688,-0.832060649,7.166471866,0.26516724
148364,1682211419,2292008,-0.832034275,7.166435162,0.265220362
148365,1682211419,12635484,-0.832049512,7.166504417,0.265206744
148366,1682211419,22578825,-0.832070048,7.166542502,0.265177264
148367,1682211419,33596740,-0.832052059,7.166533714,0.265115953
148368,1682211419,42399475,-0.832179693,7.16656889,0.265034103
148369,1682211419,52698197,-0.832190138,7.166549432,0.265067303
148370,1682211419,63971272,-0.832178876,7.166524749,0.265083325
148371,1682211419,72352680,-0.832022034,7.166476405,0.265173235
148372,1682211419,83459841,-0.831928444,7.166453324,0.265279066
148373,1682211419,94523965,-0.832181118,7.166593014,0.265035034
148374,1682211419,103864375,-0.832170806,7.166559615,0.265051188
148375,1682211419,113814590,-0.832073627,7.166492875,0.265167762
148376,1682211419,122649288,-0.832031608,7.166504274,0.26517577
