.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148403,1682211418,802088121,-0.246861179,2.014444496,0.192914057
148404,1682211418,812890318,-0.24695613,2.014450384,0.19310128
148405,1682211418,826438437,-0.246856406,2.01438789,0.193228878
148406,1682211418,832342958,-0.246859474,2.014519263,0.192868258
148407,1682211418,842702917,-0.246823445,2.014577433,0.192856656
148408,1682211418,852587761,-0.246933713,2.014659818,0.192972918
148409,1682211418,862111200,-0.246969389,2.014557006,0.192962576
148410,1682211418,872383639,-0.24687413,2.014434199,0.193072155
148411,1682211418,882203748,-0.246898665,2.014422197,0.193248542
148412,1682211418,893441620,-0.246913157,2.014478843,0.193075204
148413,1682211418,902809385,-0.246883944,2.014532945,0.193001274
148414,1682211418,911932556,-0.246974958,2.014536241,0.192873157
148415,1682211418,922469973,-0.24690334,2.014461753,0.193094744
148416,1682211418,933198285,-0.247088019,2.014795414,0.192870492
148417,1682211418,942217717,-0.246957979,2.014592352,0.192981339
148418,1682211418,952347352,-0.246982635,2.014540249,0.19320145
148419,1682211418,962248225,-0.246988662,2.014566819,0.192886168
148420,1682211418,972228123,-0.24686346,2.0143959,0.193221144
148421,1682211418,983232958,-0.246888781,2.0144839,0.193055843
148422,1682211418,992310688,-0.246908348,2.014491585,0.193098786
148423,1682211419,2292008,-0.246935958,2.014600224,0.193070456
148424,1682211419,12635484,-0.246925215,2.014542176,0.193108243
148425,1682211419,22578825,-0.246897441,2.014490268,0.193097217
148426,1682211419,33596740,-0.246902765,2.014490558,0.193052203
148427,1682211419,42399475,-0.246922193,2.014411484,0.193063949
148428,1682211419,52698197,-0.246874326,2.014400568,0.193197544
148429,1682211419,63971272,-0.24682134,2.014430656,0.19307832
148430,1682211419,72352680,-0.246865309,2.014416614,0.193130223
148431,1682211419,83459841,-0.246906562,2.014494246,0.193070608
148432,1682211419,94523965,-0.246885983,2.014483701,0.19306144
148433,1682211419,103864375,-0.246859608,2.01438414,0.193110707
148434,1682211419,113814590,-0.246961402,2.014541562,0.192977441
148435,1682211419,122649288,-0.246862348,2.014383946,0.193147355
148436,1682211419,132561427,-0.247002798,2.014666415,0.192876275
148437,1682211419,142614224,-0.247230615,2.015068677,0.192799703
148438,1682211419,152713750,-0.247160659,2.014981952,0.192971022
148439,1682211419,162479074,-0.247157871,2.014964657,0.192961118
148440,1682211419,172488693,-0.247188478,2.014965838,0.192955102
148441,1682211419,182972750,-0.247167257,2.014972507,0.193018839
148442,1682211419,192909872,-0.246988066,2.014591795,0.192933438
148443,1682211419,202625914,-0.24686335,2.014444346,0.193065575
148444,1682211419,212835606,-0.246848567,2.014414105,0.19314424
148445,1682211419,222536089,-0.246889354,2.01449167,0.193079154
148446,1682211419,232561685,-0.2469102,2.014459611,0.193084946
148447,1682211419,242953952,-0.24690749,2.014457932,0.193110262
148448,1682211419,252365879,-0.246881099,2.01435072,0.193284989
148449,1682211419,262913535,-0.246922873,2.014492396,0.193108048
148450,1682211419,273444130,-0.246866867,2.014382332,0.193193228
148451,1682211419,283437048,-0.246877015,2.01450645,0.193085075
148452,1682211419,292707812,-0.246902793,2.014455396,0.19310293
148453,1682211419,302800784,-0.246904379,2.014425167,0.193071903
148454,1682211419,312492115,-0.246855185,2.014478209,0.192865608
148455,1682211419,322932517,-0.24699498,2.014697506,0.193021135
148456,1682211419,332462631,-0.246891205,2.014476928,0.193071249
148457,1682211419,342470828,-0.246843727,2.014372922,0.193112293
148458,1682211419,354909244,-0.246895078,2.01445655,0.193128523
148459,1682211419,362583825,-0.246906699,2.014473021,0.193139656
148460,1682211419,372716048,-0.246893801,2.014487114,0.193142275
148461,1682211419,382305985,-0.246997095,2.014629367,0.19314107
148462,1682211419,392417026,-0.247089209,2.014838742,0.192932888
148463,1682211419,403322585,-0.247165813,2.014990184,0.192966389
148464,1682211419,412153130,-0.247165039,2.01495008,0.192969132
148465,1682211419,423346034,-0.247173302,2.014949984,0.192974432
148466,1682211419,432299220,-0.246817346,2.014338421,0.193261196
148467,1682211419,442160973,-0.246860047,2.014411247,0.192994386
148468,1682211419,452332572,-0.246870713,2.014391926,0.193105881
148469,1682211419,462357360,-0.246890623,2.014471821,0.193104904
148470,1682211419,472388568,-0.246933815,2.014480159,0.193086804
148471,1682211419,482660690,-0.246865945,2.014380415,0.193138097
148472,1682211419,493862944,-0.246861859,2.014395238,0.193115345
148473,1682211419,502339443,-0.246877416,2.014374627,0.192898217
148474,1682211419,512289733,-0.24687109,2.014413213,0.193124351
148475,1682211419,523072883,-0.246892085,2.014479514,0.193080791
148476,1682211419,532684783,-0.246910191,2.01447751,0.193065064
148477,1682211419,542484328,-0.246909379,2.014475343,0.193094625
148478,1682211419,552320608,-0.246814387,2.014292952,0.193268302
148479,1682211419,562816124,-0.246881832,2.014451601,0.192952762
148480,1682211419,572267997,-0.246970343,2.01452683,0.193030044
148481,1682211419,582629316,-0.246878962,2.014483737,0.193071297
148482,1682211419,592851331,-0.246854547,2.014389006,0.193288911
148483,1682211419,602286682,-0.24690597,2.014461544,0.193116411
148484,1682211419,612740433,-0.246906043,2.014494712,0.193119199
148485,1682211419,622481851,-0.246979679,2.014606368,0.193163259
148486,1682211419,632491310,-0.246923551,2.014606441,0.1930715
148487,1682211419,642440305,-0.246844353,2.014370395,0.193190352
148488,1682211419,652483927,-0.246922754,2.014456873,0.192940033
148489,1682211419,662763058,-0.246894395,2.01445668,0.19314184
148490,1682211419,672226313,-0.24686543,2.014430099,0.192974094
148491,1682211419,682637093,-0.24685333,2.014369403,0.193053069
148492,1682211419,692471344,-0.246861092,2.014366517,0.193206642
148493,1682211419,702492695,-0.246857615,2.014353112,0.193234785
148494,1682211419,712492838,-0.246901054,2.014461112,0.19309777
148495,1682211419,722415909,-0.246864875,2.014435475,0.192965283
148496,1682211419,733047592,-0.247003868,2.014662557,0.193055741
148497,1682211419,742419481,-0.246900066,2.014487935,0.193121218
148498,1682211419,753460798,-0.24686247,2.01436835,0.193102605
148499,1682211419,764247673,-0.246856467,2.014354236,0.193200134
148500,1682211419,783490106,-0.247073325,2.014885611,0.192800004
148501,1682211419,793700096,-0.247183241,2.014976387,0.193021485
148502,1682211419,803171288,-0.247150807,2.014995252,0.193012558
148503,1682211419,812889057,-0.247232383,2.015090623,0.192795153
148504,1682211419,842588169,-0.246908176,2.014458583,0.193110865
148505,1682211419,852392413,-0.246973503,2.014534801,0.192921834
148506,1682211419,861999522,-0.246872048,2.014401578,0.19316482
148507,1682211419,872140692,-0.24709879,2.014840576,0.192937539
148508,1682211419,886601566,-0.246866706,2.01440756,0.193089911
148509,1682211419,903498004,-0.246868655,2.014331422,0.19311161
148510,1682211419,911756192,-0.246932365,2.014449134,0.193064219
148511,1682211419,922936694,-0.246932803,2.01448532,0.193091739
148512,1682211419,951231909,-0.247102125,2.014891204,0.192971784
148513,1682211419,960854265,-0.247156066,2.014975887,0.192963603
148514,1682211419,970346266,-0.247101147,2.014798015,0.19296238
148515,1682211419,980896122,-0.24708984,2.015104739,0.192876751
148516,1682211419,991927838,-0.246823335,2.014353038,0.193329563
148517,1682211420,368841,-0.246885838,2.014521217,0.193190365
148518,1682211420,10225254,-0.246975841,2.014571688,0.193025078
148519,1682211420,22261789,-0.246892413,2.014517562,0.193193565
148520,1682211420,31257744,-0.246935349,2.014544439,0.193209978
148521,1682211420,41055602,-0.246983851,2.014638471,0.192886622
148522,1682211420,50960641,-0.246925702,2.014558372,0.193206654
148523,1682211420,62431680,-0.247045677,2.014503939,0.193051061
148524,1682211420,71445959,-0.246914357,2.014448041,0.193203485
148525,1682211420,81474782,-0.246951817,2.0145555,0.193251524
148526,1682211420,91952332,-0.24693869,2.014534609,0.193226164
148527,1682211420,102396627,-0.246913293,2.014434591,0.19339286
148528,1682211420,112606322,-0.247012131,2.014589771,0.193137363
148529,1682211420,122191819,-0.246887563,2.014418112,0.193371804
148530,1682211420,134178592,-0.247009692,2.014651738,0.19306045
148531,1682211420,146126823,-0.247005986,2.014585304,0.193092899
148532,1682211420,152260943,-0.247053875,2.014580741,0.193057027
148533,1682211420,162930127,-0.246962348,2.014500365,0.193208684
148534,1682211420,172806073,-0.246892264,2.014446183,0.193281279
148535,1682211420,184835813,-0.246928755,2.014448017,0.193308695
148536,1682211420,192744025,-0.246940406,2.01451545,0.193191888
148537,1682211420,203547523,-0.246956855,2.014498197,0.193181755
148538,1682211420,212961256,-0.246930969,2.014438022,0.193224125
148539,1682211420,223715672,-0.247019581,2.014567369,0.19301508
148540,1682211420,233817685,-0.246915652,2.014548328,0.193151614
148541,1682211420,242398051,-0.246943872,2.014506138,0.193128793
148542,1682211420,252179323,-0.247014809,2.014625734,0.193229706
148543,1682211420,262377340,-0.246959169,2.014466573,0.193130931
148544,1682211420,272380387,-0.247027274,2.014384829,0.193184382
148545,1682211420,282187553,-0.246900713,2.014360143,0.193273092
148546,1682211420,292483251,-0.246972437,2.014468628,0.193131781
148547,1682211420,303546865,-0.246930569,2.014385396,0.193267363
148548,1682211420,312385086,-0.246965077,2.014483976,0.193138188
148549,1682211420,322392079,-0.246941876,2.01444984,0.193129235
148550,1682211420,332477087,-0.246939276,2.014461749,0.193163775
148551,1682211420,343202446,-0.246943967,2.014441932,0.193143992
148552,1682211420,353153524,-0.24695769,2.014448811,0.193139855
148553,1682211420,362466353,-0.246947588,2.014505629,0.19315942
148554,1682211420,372423780,-0.246923697,2.014402347,0.193328365
148555,1682211420,383217619,-0.246955468,2.014509234,0.193173463
148556,1682211420,395005193,-0.246957983,2.014319642,0.193107104
148557,1682211420,402665125,-0.24690123,2.014423205,0.19341837
148558,1682211420,412364627,-0.247067009,2.014507909,0.193164848
148559,1682211420,423892967,-0.247075776,2.014652524,0.19337745
148560,1682211420,432382667,-0.247022205,2.014492271,0.193245345
148561,1682211420,442529540,-0.246958053,2.014437193,0.193395135
148562,1682211420,452842538,-0.24697776,2.014400941,0.193420974
148563,1682211420,463277217,-0.247009544,2.014489647,0.193272469
148564,1682211420,472659851,-0.2470066,2.014539278,0.193335595
148565,1682211420,482728751,-0.246964473,2.014426628,0.193461908
148566,1682211420,492273198,-0.246904669,2.014399404,0.193402913
148567,1682211420,503687242,-0.247033302,2.014546392,0.193188766
148568,1682211420,511963073,-0.247183002,2.014803533,0.193041494
148569,1682211420,522244202,-0.246984079,2.014486805,0.19325953
148570,1682211420,533204742,-0.246997319,2.014507673,0.193262066
148571,1682211420,542206085,-0.246968747,2.014442361,0.19339146
148572,1682211420,552401202,-0.24703043,2.01455794,0.19328494
148573,1682211420,563468923,-0.247012912,2.014510232,0.193237422
148574,1682211420,572056229,-0.246952539,2.014434711,0.193177702
148575,1682211420,582870488,-0.246996677,2.014465836,0.193215754
148576,1682211420,592425307,-0.246978015,2.014468283,0.193217808
148577,1682211420,602273664,-0.246974059,2.01439093,0.193383663
148578,1682211420,612127260,-0.247000796,2.014605505,0.192971019
148579,1682211420,621974150,-0.247032403,2.014573846,0.192998528
148580,1682211420,631933012,-0.246965195,2.014479216,0.19319358
148581,1682211420,642025977,-0.246956136,2.014462856,0.19318197
148582,1682211420,652137997,-0.246919316,2.014385747,0.193332453
148583,1682211420,662456972,-0.246964001,2.014441472,0.193142226
148584,1682211420,672310882,-0.246910743,2.01439746,0.193351351
148585,1682211420,682809547,-0.246878883,2.014362127,0.193170979
148586,1682211420,692351728,-0.246911996,2.014401432,0.193258006
148587,1682211420,702184758,-0.246943036,2.014426704,0.193171428
148588,1682211420,712143399,-0.246907192,2.01443708,0.192981746
148589,1682211420,722550500,-0.246940023,2.014476297,0.193174981
148590,1682211420,733122663,-0.247054627,2.014740265,0.193075471
148591,1682211420,742452015,-0.246880523,2.014517284,0.193039486
148592,1682211420,752359998,-0.246939702,2.014462423,0.193129446
148593,1682211420,762192993,-0.246923323,2.014366147,0.193309825
148594,1682211420,773683473,-0.24695093,2.014436457,0.193149602
148595,1682211420,784031622,-0.246956559,2.014434302,0.19319121
148596,1682211420,792542015,-0.246887224,2.014485117,0.193089156
148597,1682211420,812487117,-0.246999663,2.014603385,0.193205668
148598,1682211420,832948344,-0.247092554,2.014523316,0.193029535
148599,1682211420,843123541,-0.246933535,2.014461301,0.193128332
